HOBO Weather Station - SN 8388608
Time zone: UTC-300 minutes
Date_Time	Pressure_10096011_mbar	Water Temperature_SDI_0_2_F	Sp Cond_SDI_0_3_mS/cm	Salinity_SDI_0_4_ppt	Depth_SDI_0_5_m	pH_SDI_0_6_H+	pH mV_SDI_0_7_V	Turbidity_SDI_0_8_NTU	Chl_SDI_0_9_ug/L	Percent Oxygen_SDI_0_10_%	Concentration Oxygen_SDI_0_11_mg/L	Battery_SDI_0_12_volts	Corrected Depth_SDI_0_12_m	
06/03/19 13:00:00	1009.650	66.650	8.812	4.940	2.039	7.360	-63.100	3.800	2.000	68.600	6.150	11.400	2.073
06/03/19 13:15:00	1009.550	66.910	8.781	4.920	1.968	7.380	-64.300	5.400	2.300	70.600	6.310	11.400	2.003
06/03/19 13:30:00	1009.350	67.060	8.686	4.860	1.911	7.380	-64.300	6.700	1.200	71.500	6.390	11.400	1.948
06/03/19 13:45:00	1009.950	67.090	8.746	4.900	1.850	7.380	-64.300	7.000	2.100	72.600	6.470	11.400	1.881
06/03/19 14:00:00	1009.650	67.230	8.689	4.860	1.780	7.400	-65.200	4.500	1.100	72.100	6.420	11.400	1.814
06/03/19 14:15:00	1010.050	67.290	8.558	4.790	1.704	7.380	-64.100	6.400	2.900	72.700	6.480	11.300	1.734
06/03/19 14:30:00	1010.050	67.420	8.562	4.790	1.647	7.380	-64.400	8.600	1.700	75.300	6.700	11.400	1.677
06/03/19 14:45:00	1010.050	67.460	8.527	4.770	1.590	7.400	-65.200	9.300	0.500	75.900	6.750	11.400	1.620
06/03/19 15:00:00	1010.050	67.500	8.446	4.720	1.548	7.390	-64.400	6.700	2.400	73.800	6.560	11.300	1.578
06/03/19 15:15:00	1010.350	67.620	8.369	4.670	1.519	7.370	-63.700	82.900	4.200	77.700	6.900	11.400	1.546
06/03/19 15:30:00	1010.050	67.690	8.403	4.690	1.499	7.390	-64.500	26.800	3.100	78.800	6.990	11.400	1.529
